date,LHX,ENB,CRM,vwretd
2015-01-13,-0.006533,-0.019939,0.004157,-0.002264
2015-01-14,-0.000146,0.006036,-0.012420,-0.005222
2015-01-15,-0.016223,0.000667,-0.037380,-0.009182
2015-01-16,0.004903,0.049523,0.027763,0.013841
2015-01-20,-0.000148,-0.002327,0.011476,0.000251
2015-01-21,0.008724,0.029268,0.007331,0.004549
2015-01-22,0.012753,0.020194,0.005025,0.014704
2015-01-23,0.008829,0.004040,0.010690,-0.004203
2015-01-26,0.001291,0.007041,0.019788,0.004402
2015-01-27,-0.005875,0.009189,-0.033289,-0.010008
2015-01-28,-0.016287,-0.026524,-0.024918,-0.014065
2015-01-29,-0.004396,-0.006303,0.031056,0.008482
2015-01-30,-0.012068,-0.009003,-0.028399,-0.012152
2015-02-02,0.013854,0.027875,0.014703,0.012223
2015-02-03,0.016309,0.020691,0.023219,0.015024
2015-02-04,-0.007084,-0.016335,0.006484,-0.004439
2015-02-05,0.011794,0.015606,0.004577,0.011508
2015-02-06,0.096273,-0.037431,-0.001519,-0.003588
2015-02-09,-0.007088,-0.001637,-0.020112,-0.004087
2015-02-10,0.005553,-0.001230,0.013970,0.008608
2015-02-11,0.006837,0.005996,0.000170,-0.000366
2015-02-12,0.009532,0.019531,0.041837,0.010427
2015-02-13,0.005433,-0.004436,0.025955,0.004733
2015-02-17,0.005017,0.012153,-0.012410,0.001747
2015-02-18,0.004352,-0.007404,0.014983,0.000119
2015-02-19,0.003314,-0.005443,-0.003016,-0.001016
2015-02-20,-0.004827,-0.001824,0.014807,0.005709
2015-02-23,-0.003702,-0.011779,-0.018199,-0.000652
2015-02-24,0.006406,-0.006165,-0.010387,0.002294
2015-02-25,-0.004583,-0.015509,0.015178,0.000697
2015-02-26,-0.005755,-0.033816,0.117226,-0.001540
2015-02-27,-0.000772,0.009565,-0.012244,-0.002605
2015-03-02,0.014032,-0.001077,-0.013260,0.005491
2015-03-03,-0.016885,0.001078,-0.022057,-0.004050
2015-03-04,-0.009039,-0.003015,-0.030919,-0.003780
2015-03-05,-0.003909,0.004104,0.010943,0.001631
2015-03-06,-0.010073,0.007313,-0.015704,-0.013852
2015-03-09,-0.001596,-0.011104,0.014250,0.002862
2015-03-10,-0.029435,-0.019218,-0.026268,-0.015500
2015-03-11,-0.005078,0.003303,-0.001255,-0.000191
2015-03-12,0.000000,0.016678,0.019943,0.011981
2015-03-13,-0.008414,-0.003022,-0.005389,-0.005527
