PERMNO,date,vwretd
25582,2017-03-23,0.000156
25582,2017-03-24,-0.000317
25582,2017-03-27,-0.000361
25582,2017-03-28,0.006893
25582,2017-03-29,0.002268
25582,2017-03-30,0.002599
25582,2017-03-31,-0.001095
25582,2017-04-03,-0.002624
25582,2017-04-04,0.000621
25582,2017-04-05,-0.004134
25582,2017-04-06,0.003506
25582,2017-04-07,-0.000717
25582,2017-04-10,0.001468
25582,2017-04-11,-0.000127
25582,2017-04-12,-0.004575
25582,2017-04-13,-0.007191
25582,2017-04-17,0.008654
25582,2017-04-18,-0.002508
25582,2017-04-19,-0.001333
25582,2017-04-20,0.007669
25582,2017-04-21,-0.002842
25582,2017-04-24,0.010754
25582,2017-04-25,0.005960
25582,2017-04-26,-0.000105
25582,2017-04-27,-0.000040
25582,2017-04-28,-0.002611
25582,2017-05-01,0.002001
25582,2017-05-02,0.000255
25582,2017-05-03,-0.002573
25582,2017-05-04,-0.000777
25582,2017-05-05,0.005792
25582,2017-05-08,-0.000820
25582,2017-05-09,-0.000984
25582,2017-05-10,0.002600
25582,2017-05-11,-0.002715
25582,2017-05-12,-0.001539
25582,2017-05-15,0.005603
25582,2017-05-16,-0.000384
25582,2017-05-17,-0.018102
25582,2017-05-18,0.003369
25582,2017-05-19,0.007577
25582,2017-05-22,0.005394
25582,2017-05-23,0.001526
25582,2017-05-24,0.002402
25582,2017-05-25,0.003248
25582,2017-05-26,0.000310
25582,2017-05-30,-0.002267
25582,2017-05-31,-0.000326
25582,2017-06-01,0.009052
25582,2017-06-02,0.003486
25582,2017-06-05,-0.001819
25582,2017-06-06,-0.002150
25582,2017-06-07,0.000725
25582,2017-06-08,0.001597
25582,2017-06-09,-0.000547
25582,2017-06-12,-0.000866
25582,2017-06-13,0.005328
25582,2017-06-14,-0.002289
25582,2017-06-15,-0.002973
25582,2017-06-16,0.000543
25582,2017-06-19,0.007639
25582,2017-06-20,-0.007515
25582,2017-06-21,-0.000752
25582,2017-06-22,0.000802
25582,2017-06-23,0.002916
25582,2017-06-26,0.000940
25582,2017-06-27,-0.007476
25582,2017-06-28,0.010009
25582,2017-06-29,-0.008117
